name,price,features,image
Intel Core i9 14900F 14th Gen Raptor Lake Processor,Up Coming,"Clock Speed: 4.3 GHz up to 5.8 GHz, Cache: 36 MB Intel Smart Cache, CPU Cores: 24; CPU Threads: 32, Socket: LGA1700",Intel Core i9 14900F 14th Gen Raptor Lake Processor.jpg
Intel Core i7 14700F 14th Gen Raptor Lake Processor,Up Coming,"Clock Speed: 4.2 GHz up to 5.4 GHz, Cache: 33 MB Intel Smart Cache, CPU Cores: 20; CPU Threads: 28, Socket: LGA1700",Intel Core i7 14700F 14th Gen Raptor Lake Processor.jpg
Intel Core i3 14100F 14th Gen Raptor Lake Processor,Up Coming,"Clock Speed: 3.5 GHz up to 4.7 GHz, Cache: 12 MB Intel Smart Cache, CPU Cores: 4; CPU Threads: 8, Socket: LGA1700",Intel Core i3 14100F 14th Gen Raptor Lake Processor.jpg
Intel Pentium Gold G7400 Alder Lake Processor,"7,499৳ 7,900৳","Base Clock Speed: 3.70 GHz, Cache: 6 MB Intel Smart Cache, Socket: LGA 1700, CPU Cores: 2, CPU Threads: 4, Intel UHD Graphics 710",Intel Pentium Gold G7400 Alder Lake Processor.jpg
Intel 10th Gen Core i3 10100F Processor,"7,900৳","Socket  Supported FCLGA1200, Speed 3.60 up to 4.30 GHz, Cores- 4 & Threads- 8, 6M Intel Smart  Cache",Intel 10th Gen Core i3 10100F Processor.jpg
Intel Core i3 10105F 10th Gen Processor,Out Of Stock,"Socket  Supported FCLGA1200, Speed 3. 70 up to 4.40 GHz, Cores- 4 & Threads- 8, 6M Cache",Intel Core i3 10105F 10th Gen Processor.jpg
Intel Pentium Gold G6405 Coffee Lake Processor,"8,800৳","Socket Supported FCLGA1200, Speed 4.10 GHz, Cores- 2 & Threads- 4, 4M Intel Smart Cache, Intel UHD Graphics 610",Intel Pentium Gold G6405 Coffee Lake Processor.jpg
Intel 5th Gen Core i7 5930K Processor,"9,900৳ 17,000৳","Clock Speed: up to 3.70 GHz, Cache: 15MB Intel Smart Cache, Cores: 6, Threads: 12, Socket: LGA2011",Intel 5th Gen Core i7 5930K Processor.jpg
Intel Core i3-12100F 12th Gen Alder Lake Processor,Up Coming,"Clock Speed: 3.30 GHz Up to 4.30 GHz, Cache: 12MB, Socket: LGA 1700, CPU Cores: 4, CPU Threads: 8, Max Memory Size: 128 GB",Intel Core i3-12100F 12th Gen Alder Lake Processor.jpg
Intel Core i3-12100 12th Gen Alder Lake Processor (Tray),"11,200৳","Clock Speed: 3.30 GHz Up to 4.30 GHz, Cache: 12MB, Socket: LGA 1700, CPU Cores: 4, CPU Threads: 8, Graphic: Intel UHD Graphics 730",Intel Core i3-12100 12th Gen Alder Lake Processor (Tray).jpg
Intel Core i3-12100 12th Gen Alder Lake Processor,"11,200৳ 11,500৳","Clock Speed: 3.30 GHz Up to 4.30 GHz, Cache: 12MB, Socket: LGA 1700, CPU Cores: 4, CPU Threads: 8, Graphic: Intel UHD Graphics 730",Intel Core i3-12100 12th Gen Alder Lake Processor.jpg
Intel 10th Gen Core i3 10100 Processor,"11,500৳","Socket  Supported FCLGA1200, Speed 3.60 up to 4.30 GHz, Cores- 4 & Threads- 8, 6M Cache",Intel 10th Gen Core i3 10100 Processor.jpg
Intel 10th Gen Core i5-10400F Processor,"11,500৳","Clock Speed:2.90 GHz up to 4.30 GHz, Cores-6 & Threads-12, 12 MB SmartCache, Memory Types: DDR4-2666",Intel 10th Gen Core i5-10400F Processor.jpg
Intel Core i3 10105 10th Gen Comet Lake Processor,"11,800৳ 12,500৳","Socket Supported FCLGA1200, Speed 3.70 GHz up to 4.40 GHz, Cores- 4 & Threads- 8, 6M Cache, Intel UHD Graphics 630",Intel Core i3 10105 10th Gen Comet Lake Processor.jpg
Intel 11th Gen Core i5-11400F Rocket Lake Processor,"14,000৳","Clock Speed: 2.60 GHz Up to 4.40 GHz, Cache: 12 MB, Socket: LGA 1200, CPU Cores: 6, CPU Threads: 12, Max RAM Size: 128 GB",Intel 11th Gen Core i5-11400F Rocket Lake Processor.jpg
Intel 11th Gen Core i5-11400 Rocket Lake Processor,"14,500৳","Clock Speed: 2.60 GHz Up to 4.40 GHz, Cache: 12 MB, Socket: LGA 1200, CPU Cores: 6, CPU Threads: 12, GPU name: Intel UHD Graphics 730",Intel 11th Gen Core i5-11400 Rocket Lake Processor.jpg
Intel 13th Gen Core i3-13100 Raptor Lake Processor,"15,000৳ 17,500৳","Clock Speed: 3.40 GHz up to 4.50 GHz, Cores: 4, Threads: 8, Cache: 12 MB, Socket: LGA 1700",Intel 13th Gen Core i3-13100 Raptor Lake Processor.jpg
Intel 10th Gen Core i5-10400 Processor,"15,500৳","Clock Speed:2.90 GHz up to 4.30 GHz, Cores-6 & Threads-12, 12 MB SmartCache, Intel UHD Graphics 630",Intel 10th Gen Core i5-10400 Processor.jpg
Intel 12th Gen Core i5-12400F Alder Lake Processor,"15,600৳","Base Clock Speed: 2.50 GHz Up to 4.40 GHz, Cache: 18 MB Intel Smart Cache, CPU Cores: 6, CPU Threads: 12, Supported Socket: LGA 1700",Intel 12th Gen Core i5-12400F Alder Lake Processor.jpg
Intel 10th Gen Core i5-10500 Processor,"15,800৳","Clock Speed: 3.10 GHz up to 4.50 GHz, Cores-6 & Threads-12, 12 MB SmartCache, Intel UHD Graphics 630",Intel 10th Gen Core i5-10500 Processor.jpg
Intel 12th Gen Core i5-12400 Alder Lake Processor,"18,200৳","Clock Speed: 2.50 GHz Up to 4.40 GHz, Cache: 18MB, Socket: LGA 1700, CPU Cores: 6, CPU Threads: 12, Graphic: Intel UHD Graphics 730",Intel 12th Gen Core i5-12400 Alder Lake Processor.jpg
Intel Core i3 14100 14th Gen Raptor Lake Processor,"18,500৳","Clock Speed: 3.5 GHz up to 4.7 GHz, Cache: 12 MB, Socket: LGA1700, CPU Cores: 4; CPU Threads: 8, Intel UHD Graphics 730",Intel Core i3 14100 14th Gen Raptor Lake Processor.jpg
Intel 11th Gen Core i5-11500 Rocket Lake Processor,Out Of Stock,"Clock Speed: 2.70 GHz Up to 4.60 GHz, Cache: 12 MB, Socket: LGA 1200, CPU Cores: 6, CPU Threads: 12, GPU name: Intel UHD Graphics 750",Intel 11th Gen Core i5-11500 Rocket Lake Processor.jpg
Intel 12th Gen Core i5-12500 Alder Lake Processor,"22,500৳","Clock Speed: 3.00 GHz Up to 4.60 GHz, Cache: 18 MB, Socket: LGA 1700, CPU Cores: 6, CPU Threads: 12, Graphics: Intel UHD Graphics 770",Intel 12th Gen Core i5-12500 Alder Lake Processor.jpg
Intel 13th Gen Core i5 13400F Raptor Lake Processor,"23,200৳","Clock Speed: 2.50 GHz up to 4.60 GHz, Cache: 20 MB, Socket: LGA1700, CPU Cores: 10, CPU Threads: 16, Max RAM Size: 128 GB",Intel 13th Gen Core i5 13400F Raptor Lake Processor.jpg
Intel 13th Gen Core i5 13400 Raptor Lake Processor,"23,900৳","Clock Speed: 2.50 GHz up to 4.60 GHz, Cache: 20 MB, Socket: LGA1700, CPU Cores: 10, CPU Threads: 16, Graphics: Intel UHD Graphics 730",Intel 13th Gen Core i5 13400 Raptor Lake Processor.jpg
Intel Core i5-7640X X-series Kaby Lake Processor,"25,500৳","Speed: 4.00 GHz To 4.20 GHz, Cores: 4, Threads: 4, Cache: 6 MB, Max No of PCI Express Lanes 16",Intel Core i5-7640X X-series Kaby Lake Processor.jpg
Intel 11th Gen Core i7-11700 Rocket Lake Processor,"26,500৳","Clockspeed: 2.50 GHz Up to 4.90 GHz, Cache: 16 MB, Socket: LGA 1200, CPU Cores: 8, CPU Threads: 16, GPU name: Intel UHD Graphics 750",Intel 11th Gen Core i7-11700 Rocket Lake Processor.jpg
Intel Core i5 14400F 14th Gen Raptor Lake Processor,"26,900৳","Clock Speed: 3.5 GHz up to 4.7 GHz, Cache: 20 MB Intel Smart Cache, CPU Cores: 10, CPU Threads: 16, Socket: LGA1700",Intel Core i5 14400F 14th Gen Raptor Lake Processor.jpg
Intel 12th Gen Core i5-12600K Alder Lake Processor,"28,000৳","Base Clock: P-Core: 3.7 GHz, E-Core: 2.8 GHz, Max. Boost: P-Core: 4.9 GHz, E-Core: 3.6 GHz, Cache: 20MB, Socket: LGA 1700, CPU Cores: 10, CPU Threads: 16",Intel 12th Gen Core i5-12600K Alder Lake Processor.jpg
Intel 10th Gen Core i7-10700 Processor,"28,500৳","Frequency:  2.90 GHz up to 4.8GHz, 16M Cache, 8 Core 16 Threads, Intel UHD Graphics 630",Intel 10th Gen Core i7-10700 Processor.jpg
Intel 13th Gen Core i5 13500 Raptor Lake Processor,"28,800৳","Clock Speed: 2.50 GHz up to 4.80 GHz, Cache: 24 MB, Socket: LGA1700, CPU Cores: 14, CPU Threads: 20, Graphics: Intel UHD Graphics 770",Intel 13th Gen Core i5 13500 Raptor Lake Processor.jpg
Intel Core i5 14400 14th Gen Raptor Lake Processor,"29,200৳","Clock Speed: 3.5 GHz up to 4.7 GHz, Cache: 20 MB, Socket: LGA1700, CPU Cores: 10, CPU Threads: 16, Graphics: Intel UHD Graphics 730",Intel Core i5 14400 14th Gen Raptor Lake Processor.jpg
Intel Core i5 14500 14th Gen Raptor Lake Processor,"31,000৳","Clock Speed: 3.7 GHz up to 5.0 GHz, Cache: 24 MB, Socket: LGA1700, CPU Cores: 14, CPU Threads: 20, Graphics: Intel UHD Graphics 770",Intel Core i5 14500 14th Gen Raptor Lake Processor.jpg
Intel 13th Gen Core i5 13600KF Raptor Lake Processor,"31,500৳","Clock Speed: 3.50 GHz up to 5.10 GHz, Cache: 24 MB Intel Smart Cache, CPU Cores: 14, CPU Threads: 20, Socket: LGA1700",Intel 13th Gen Core i5 13600KF Raptor Lake Processor.jpg
Intel 12th Gen Core i7-12700 Alder Lake Processor,"31,500৳","Clock Speed: 2.10 GHz Up to 4.80 GHz, Cache: 25MB, Socket: LGA 1700, CPU Cores: 12, CPU Threads: 20, GPU: Intel UHD Graphics 770",Intel 12th Gen Core i7-12700 Alder Lake Processor.jpg
Intel 12th Gen Core i7-12700K Alder Lake Processor,"32,500৳","Clock Speed: 3.60 GHz Up to 5.0 GHz, Cores: 12, Threads: 20, Cache: 25 MB Intel Smart Cache, Socket: LGA 1700",Intel 12th Gen Core i7-12700K Alder Lake Processor.jpg
Intel Core i5 14600KF 14th Gen Raptor Lake Processor,"35,000৳","Clock Speed: 3.5 GHz up to 5.3 GHz, Cache: 24 MB Intel Smart Cache, CPU Cores: 14, CPU Threads: 20, Socket: LGA1700",Intel Core i5 14600KF 14th Gen Raptor Lake Processor.jpg
Intel 13th Gen Core i5 13600K Raptor Lake Processor,"36,000৳","Clock Speed: 3.50 GHz up to 5.10 GHz, Cache: 24 MB, Socket: LGA1700, CPU Cores: 14, CPU Threads: 20, Graphics: Intel UHD Graphics 770",Intel 13th Gen Core i5 13600K Raptor Lake Processor.jpg
Intel Core i5 14600K 14th Gen Raptor Lake Processor,"38,000৳","Clock Speed: 3.5 GHz up to 5.3 GHz, Cache: 24 MB, Socket: LGA1700, CPU Cores: 14, CPU Threads: 20, Graphics: Intel UHD Graphics 770",Intel Core i5 14600K 14th Gen Raptor Lake Processor.jpg
Intel 13th Gen Core i7 13700KF Raptor Lake Processor,"42,900৳","Clock Speed: 3.40 GHz up to 5.40 GHz, Cache: 30 MB Intel Smart Cache, CPU Cores: 16, CPU Threads: 24, Socket: LGA1700",Intel 13th Gen Core i7 13700KF Raptor Lake Processor.jpg
Intel 13th Gen Core i7 13700 Raptor Lake Processor,"44,500৳","Clock Speed: 2.10 GHz GHz up to 5.20 GHz, Cache: 30 MB, Socket: LGA1700, CPU Cores: 16, CPU Threads: 24, Graphics: Intel UHD Graphics 770",Intel 13th Gen Core i7 13700 Raptor Lake Processor.jpg
Intel 13th Gen Core i7 13700K Raptor Lake Processor,"45,900৳","Clock Speed: 3.40 GHz up to 5.40 GHz, Cache: 30 MB, Socket: LGA1700, CPU Cores: 16, CPU Threads: 24, Graphics: Intel UHD Graphics 770",Intel 13th Gen Core i7 13700K Raptor Lake Processor.jpg
Intel Core i7 14700KF 14th Gen Raptor Lake Processor,"47,000৳","Clock Speed: 3.4 GHz up to 5.6 GHz, Cache: 33 MB Intel Smart Cache, CPU Cores: 20, CPU Threads: 28, Socket: LGA1700",Intel Core i7 14700KF 14th Gen Raptor Lake Processor.jpg
Intel Core i7 14700 14th Gen Raptor Lake Processor,"48,800৳","Clock Speed: 4.2 GHz up to 5.4 GHz, Cache: 33 MB, Socket: LGA1700, CPU Cores: 20, CPU Threads: 28, Graphics: Intel UHD Graphics 770",Intel Core i7 14700 14th Gen Raptor Lake Processor.jpg
Intel Core i7 14700K 14th Gen Raptor Lake Processor,"51,000৳","Clock Speed: 3.4 GHz up to 5.6 GHz, Cache: 33 MB, Socket: LGA1700, CPU Cores: 20, CPU Threads: 28, Graphics: Intel UHD Graphics 770",Intel Core i7 14700K 14th Gen Raptor Lake Processor.jpg
Intel 12th Gen Core i9-12900K Alder Lake Processor,"51,000৳","Clock Speed: 3.70 GHz Up to 5.20 GHz, Cache: 30 MB, Socket: LGA 1700, CPU Cores: 16, CPU Threads: 24, GPU name: Intel UHD Graphics 770",Intel 12th Gen Core i9-12900K Alder Lake Processor.jpg
Intel 13th Gen Core i9 13900KF Raptor Lake Processor,"63,500৳","Clock Speed: 3.00 GHz GHz up to 5.80 GHz, Cache: 36 MB Intel Smart Cache, CPU Cores: 24, CPU Threads: 32, Socket: LGA1700",Intel 13th Gen Core i9 13900KF Raptor Lake Processor.jpg
Intel Core i9 14900KF 14th Gen Raptor Lake Processor,"67,000৳","Clock Speed: 3.20 GHz up to 6.00 GHz, Cache: 36 MB Intel Smart Cache, CPU Cores: 24, CPU Threads: 32, Socket: LGA1700",Intel Core i9 14900KF 14th Gen Raptor Lake Processor.jpg
Intel 13th Gen Core i9 13900K Raptor Lake Processor,"67,500৳","Clock Speed: 3.00 GHz up to 5.80 GHz, Cache: 36 MB Intel Smart Cache, CPU Cores: 24, CPU Threads: 32, Socket: LGA1700",Intel 13th Gen Core i9 13900K Raptor Lake Processor.jpg
Intel Core i9 14900K 14th Gen Raptor Lake Processor,"72,000৳","Clock Speed: 3.20 GHz up to 6.00 GHz, Cache: 36 MB Intel Smart Cache, Socket: LGA1700, CPU Cores: 24, CPU Threads: 32, Intel UHD Graphics 770",Intel Core i9 14900K 14th Gen Raptor Lake Processor.jpg
